arrangement_id	ast_status	canonical_eight_factors	coefficient_domain	parse_warnings	raw_equation	top_level_factor_count
43	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(x+z)"", ""z"", ""t"", ""(x+y+z+t)"", ""(A0*x+A2*y+A2*z+A3*t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(x + z)zt(x + y + z + t)(A_{0}x + A_{2}y + A_{2}z + A_{3}t)	8
44	parsed	"[""x"", ""y"", ""((A0-A2)*x+(A1-A2)*y)"", ""(x+z)"", ""z"", ""t"", ""(x+y+z+t)"", ""(A0*x+A1*y+A2*z+A3*t)""]"	Q(parameters)		xy((A_{0} - A_{2})x + (A_{1} - A_{2})y)(x + z)zt(x + y + z + t)(A_{0}x + A_{1}y + A_{2}z + A_{3}t)	8
45	parsed	"[""x"", ""y"", ""(x+y)"", ""(x+z)"", ""z"", ""t"", ""(x+y+z+t)"", ""(A0*x+A1*y+A2*z+A3*t)""]"	Q(parameters)		xy(x + y)(x + z)zt(x + y + z + t)(A_{0}x + A_{1}y + A_{2}z + A_{3}t)	8
46	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(x+z)"", ""z"", ""t"", ""(x+y+z+t)"", ""(A1*y+A2*z+A3*t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(x + z)zt(x + y + z + t)(A_{1}y + A_{2}z + A_{3}t)	8
47	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(x+z)"", ""z"", ""t"", ""(x+y+z+t)"", ""(A0*x+A1*y+A2*z+A3*t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(x + z)zt(x + y + z + t)(A_{0}x + A_{1}y + A_{2}z + A_{3}t)	8
48	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(x+z)"", ""z"", ""t"", ""(x+y+z+t)"", ""(A0*x+A2*y+A3*z+A4*t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(x + z)zt(x + y + z + t)(A_{0}x + A_{2}y + A_{3}z + A_{4}t)	8
49	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""z"", ""(A0*x+A2*z)"", ""(A0*x+A3*y+A0*z+A4*t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)z(A_{0}x + A_{2}z)(A_{0}x + A_{3}y + A_{0}z + A_{4}t)t(x + y + z + t)	8
50	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""z"", ""(A0*x+A2*z)"", ""(A0*x+A3*y+A3*z+A4*t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)z(A_{0}x + A_{2}z)(A_{0}x + A_{3}y + A_{3}z + A_{4}t)t(x + y + z + t)	8
51	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""z"", ""(A0*x+A2*z)"", ""(A0*x+A3*y+A4*z+A5*t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)z(A_{0}x + A_{2}z)(A_{0}x + A_{3}y + A_{4}z + A_{5}t)t(x + y + z + t)	8
52	parsed	"[""(A0*x+A1*t)"", ""x"", ""(x+t)"", ""y"", ""(y+t)"", ""z"", ""(z+t)"", ""(A0*y+A2*z)""]"	Q(parameters)		(A_{0}x + A_{1}t)x(x + t)y(y + t)z(z + t)(A_{0}y + A_{2}z)	8
