arrangement_id	classification	historical_factor_count	historical_field_absent	historical_has_parameters	new_parameter_symbols	new_raw_factor_count	new_source_field_absent
185	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3},A_{4}	8	False
186	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3},A_{4},A_{5}	8	False
187	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3},A_{4},A_{5}	8	False
188	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3},A_{4},A_{5}	8	False
189	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3},A_{4},A_{5}	8	False
190	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3},A_{4},A_{5},A_{6}	8	False
191	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3},A_{4},A_{5},A_{6}	8	False
192	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3},A_{4},A_{5},A_{6},A_{7}	8	False
193	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
194	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
195	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3},A_{4}	8	False
196	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3},A_{4},A_{5}	8	False
197	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1}	8	False
198	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1}	8	False
199	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1}	8	False
200	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1}	8	False
201	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
202	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
203	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
204	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
205	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
206	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
207	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
208	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
209	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2}	8	False
210	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
211	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
212	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
213	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
214	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
215	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
216	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
217	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
218	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
219	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
220	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
221	normalization_difference_or_substantive_discrepancy	8	True	True	A_{0},A_{1},A_{2},A_{3}	8	False
