claim_level	directed	evidence_type	join_state	relationship_id	relationship_type	source_id	target_id
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:313f882bdccbc6b2e08d1d5cff42517dc5cafa57efba310f355404ca41600ebc	source_crosswalk	cynk_meyer_table1:2	cynk_meyer_table1:2
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:0c69799ee0a2b671042199de781ebdb31ea8d9b80a2533e43f662a3396d5498f	source_crosswalk	cynk_meyer_table1:3	cynk_meyer_table1:3
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:13d4fc6e95d50dcef3f186b1bbae44b44a26802dd5cbf6d1d6aff9e6ada57e10	source_crosswalk	cynk_meyer_table1:4	cynk_meyer_table1:4
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:45564297a5474effa33dfa4de34b0d7754b66d8e376a549638f4c56e3addd869	source_crosswalk	cynk_meyer_table1:5	cynk_meyer_table1:5
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:b2f5376c0af6349a48b1fbf6820f8a5dbfc16671ded4c640c554b4da99756752	source_crosswalk	cynk_meyer_table1:6	cynk_meyer_table1:6
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:946444b371a09e3be2e526f707a0923750b43d511dc12b8dbbefe8e8c766a9d7	source_crosswalk	cynk_meyer_table1:7	cynk_meyer_table1:7
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:13f19a431e085578fa3c80d909163711e2491535695a9bbc5847bc1f6f9067c8	source_crosswalk	cynk_meyer_table1:8	cynk_meyer_table1:8
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:8f638a649e3ff1cfd671f3ad812550e867582fb2c3337095b8a9bf7986635891	source_crosswalk	cynk_meyer_table1:9	cynk_meyer_table1:9
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:e80ac76eaa25c7a29094efd9c49f3f1a3f27980fa47b33d486bc0232d885f6bc	source_crosswalk	cynk_meyer_table1:10	cynk_meyer_table1:10
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:e47e1907527ea4835a959e34b3bc1ec9726fb62e1301be0738f9bd36fdc64bac	source_crosswalk	cynk_meyer_table1:11	cynk_meyer_table1:11
